task_id,base_task_id,language,family,difficulty,rater,functional_visual,presentation,overall_quality,vlm_functional_visual,vlm_presentation,vlm_overall_quality
mz_puzzle-3d-terminal-zh,mz_puzzle-3d-terminal,zh,puzzle,medium,rater-1,,,,,,
mz_puzzle-3d-terminal-zh,mz_puzzle-3d-terminal,zh,puzzle,medium,rater-2,,,,,,
mz_aiga-world-5a02bbb4-en,mz_aiga-world-5a02bbb4,en,racing,high,rater-1,,,,,,
mz_aiga-world-5a02bbb4-en,mz_aiga-world-5a02bbb4,en,racing,high,rater-2,,,,,,
mz_aiga-world-5a02bbb4-zh,mz_aiga-world-5a02bbb4,zh,racing,high,rater-1,,,,,,
mz_aiga-world-5a02bbb4-zh,mz_aiga-world-5a02bbb4,zh,racing,high,rater-2,,,,,,
mz_summer-racing-sports-fishing-game-en,mz_summer-racing-sports-fishing-game,en,racing,medium,rater-1,,,,,,
mz_summer-racing-sports-fishing-game-en,mz_summer-racing-sports-fishing-game,en,racing,medium,rater-2,,,,,,
mz_summer-racing-sports-fishing-game-zh,mz_summer-racing-sports-fishing-game,zh,racing,medium,rater-1,,,,,,
mz_summer-racing-sports-fishing-game-zh,mz_summer-racing-sports-fishing-game,zh,racing,medium,rater-2,,,,,,
mz_rhythm-note-highway-en,mz_rhythm-note-highway,en,rhythm,medium,rater-1,,,,,,
mz_rhythm-note-highway-en,mz_rhythm-note-highway,en,rhythm,medium,rater-2,,,,,,
mz_rhythm-note-highway-zh,mz_rhythm-note-highway,zh,rhythm,medium,rater-1,,,,,,
mz_rhythm-note-highway-zh,mz_rhythm-note-highway,zh,rhythm,medium,rater-2,,,,,,
mz_roguelike-spelunk-depths-en,mz_roguelike-spelunk-depths,en,roguelike,high,rater-1,,,,,,
mz_roguelike-spelunk-depths-en,mz_roguelike-spelunk-depths,en,roguelike,high,rater-2,,,,,,
mz_roguelike-spelunk-depths-zh,mz_roguelike-spelunk-depths,zh,roguelike,high,rater-1,,,,,,
mz_roguelike-spelunk-depths-zh,mz_roguelike-spelunk-depths,zh,roguelike,high,rater-2,,,,,,
mz_roguelike-potion-craft-en,mz_roguelike-potion-craft,en,roguelike,medium,rater-1,,,,,,
mz_roguelike-potion-craft-en,mz_roguelike-potion-craft,en,roguelike,medium,rater-2,,,,,,
mz_roguelike-potion-craft-zh,mz_roguelike-potion-craft,zh,roguelike,medium,rater-1,,,,,,
mz_roguelike-potion-craft-zh,mz_roguelike-potion-craft,zh,roguelike,medium,rater-2,,,,,,
mz_aiga-world-4224835f-en,mz_aiga-world-4224835f,en,rpg,high,rater-1,,,,,,
mz_aiga-world-4224835f-en,mz_aiga-world-4224835f,en,rpg,high,rater-2,,,,,,
mz_aiga-world-4224835f-zh,mz_aiga-world-4224835f,zh,rpg,high,rater-1,,,,,,
mz_aiga-world-4224835f-zh,mz_aiga-world-4224835f,zh,rpg,high,rater-2,,,,,,
mz_cnblogs-13-companion-evolution-en,mz_cnblogs-13-companion-evolution,en,rpg,medium,rater-1,,,,,,
mz_cnblogs-13-companion-evolution-en,mz_cnblogs-13-companion-evolution,en,rpg,medium,rater-2,,,,,,
mz_cnblogs-13-companion-evolution-zh,mz_cnblogs-13-companion-evolution,zh,rpg,medium,rater-1,,,,,,
mz_cnblogs-13-companion-evolution-zh,mz_cnblogs-13-companion-evolution,zh,rpg,medium,rater-2,,,,,,
